,year_written,flesch_reading_ease,avg_words_per_sentence,avg_syllables_per_word,%_thing,%_something,%_anything,%_stuff,%_lot,%_very,%_pos_sentences,%_neu_sentences,%_neg_sentences,%_stop_words,%_repeated_trigrams,%_unique_adj,%_unique_noun,%_adj_in_text,%_noun_in_text,decade_written
0,1920,82.5785311181688,12.675860680491242,1.3166722256635057,0.0007623767093915281,0.0009212051905147633,0.0005082511395943522,0.0,0.00022235987357252906,0.0029859754451168185,0.3464868129655728,0.3956110328165895,0.3142742097845782,0.5217515604898271,0.19554962595892691,0.2433105164903547,0.19794612293496056,0.0765712107495116,0.2134337129334032,1920
1,1922,87.16572464306215,10.644593461860856,1.2868204845525897,0.0012074441557077984,0.0014174344436569811,0.0006824684358348426,0.0,0.0003018610389269496,0.0018767881985458173,0.3294216261525566,0.4942721430567197,0.2408493992735401,0.4879780560149093,0.15839829907866762,0.23047313552526064,0.20311368573497465,0.081830590335197,0.21749744074336566,1920
2,1923,83.49229338958992,12.828272027373824,1.3040426773360008,0.0008668833875135452,0.0006668333750104192,0.00046678336250729357,1.667083437526048e-05,6.668333750104192e-05,0.0018671334500291734,0.3432420872540633,0.4174508126603935,0.3083832335329341,0.5255147120113361,0.16804201050262565,0.2739297739297739,0.197907917843781,0.06931732933233309,0.21833791781278647,1920
3,1924,85.3111042640065,12.411379986919556,1.2875454497549663,0.0013042103599093641,0.0015018179901986615,0.0005533013648100332,1.3173842019286506e-05,0.0002766506824050166,0.0023317700374137114,0.35725964682799216,0.4053302812295618,0.27174623937213865,0.5228170943774042,0.15808610423143804,0.2341342170671085,0.2062858869749169,0.07950413658639406,0.21796121620909525,1920
4,1925,83.86487446203105,11.141415640302718,1.3198769345515569,0.0014117897765110149,0.0013585146906049384,0.0006792573453024692,2.663754295303801e-05,0.0003862443728190512,0.0030766362110758905,0.33417420982341595,0.4473957560468913,0.2313399614186081,0.4914093923976453,0.1698542926400469,0.23010752688172045,0.1904875290195845,0.0805119735755574,0.2237420420340428,1920
5,1927,84.1619091356459,12.819285387081996,1.2962354160338758,0.0009290857438939412,0.001000553878039629,0.0005002769390198145,5.3601100609265836e-05,0.00012506923475495363,0.0022512462255891656,0.3666972056802565,0.4209803023362345,0.2808062299587724,0.5232360771141168,0.15088709821508334,0.266605378074006,0.2408173395102581,0.0777394629169719,0.2159767013882685,1920
6,1928,85.11998169162456,11.738257261410787,1.2978804632156442,0.001088754719115422,0.0015836432278042505,0.0007069835838411832,5.655868670729467e-05,0.00019795540347553132,0.0036904543076509756,0.376597510373444,0.4502904564315353,0.2403319502074689,0.5158576417855577,0.1883404267352912,0.23048802778285504,0.18991078017038976,0.07735814374390226,0.21078008568641035,1920
7,1929,86.5270709121003,10.551584204776026,1.295485474232294,0.0011094018105437546,0.0016419146796047572,0.0009171054967161707,0.00025146441038991776,0.00045855274835808523,0.003638837938583516,0.33182456687997497,0.4604339004214141,0.2629936007491806,0.4742322939471037,0.1625051772084492,0.2271068347710684,0.2015170151701517,0.08916632151943672,0.21646648127329746,1920
8,1930,88.02966018125052,10.90354147250699,1.2735017165975755,0.0015812641565878885,0.001381825434135362,0.0011823867116828356,5.6982492129293274e-05,0.0005128424291636393,0.00458709061640811,0.32479030754892824,0.4782541161851507,0.28735632183908044,0.5064603900451586,0.17458011026112227,0.2121160409556314,0.16900658726462173,0.08347935096941465,0.2140974685527872,1930
9,1931,85.95384423794228,10.793201607501674,1.2993623656080795,0.001272165940084087,0.0013031943776471134,0.0013187085964286268,0.0,0.000418883907100858,0.0030407868811765985,0.3392498325519089,0.4834226389819156,0.25669792364367044,0.4870533844268272,0.1729525109763098,0.2161962737502306,0.1926487414187643,0.08410258001458337,0.2169508354406814,1930
